ToolID,Dia,Gauge,Diff
651,14,0,0
652,14,120,0
653,14,120,25
654,14,120,20
655,14,120,15
656,14,120,-15
657,14,120,-20
658,14,120,-25
661,14,0,200
662,14,0,129
663,14,0,128
664,14,0,127
665,14,0,126
666,14,0,80
667,14,0,60
668,14,0,40
669,14,0,-38
670,14,0,-40
671,14,0,-60
672,14,0,-80
673,14,0,-126
674,14,0,-127
675,14,0,-128
676,14,0,-137
677,14,0,-146
678,14,0,-147
679,14,0,-148
680,14,0,-149
681,14,0,137
682,14,0,-85
683,14,0,148
684,14,0,10
685,14,0,129
686,14,0,85
687,14,0,146
688,14,0,147
689,14,0,149
690,14,120,46
691,14,0,-14
692,14,0,106
693,16,0,60
694,16,120,0
695,16,0,-60
696,14,120,-46
697,14,0,-129
698,14,90,0
699,14,252,0
700,14,56,0
701,14,120,35
702,14,120,-35
703,1822,110,0
705,14,298,0
706,14,0,-154
707,14,0,155
708,14,0,132
709,14,0,134
710,14,0,-132
711,14,0,-138
712,14,0,-133
713,14,0,138
714,14,0,133
715,14,0,158
716,14,170,0
717,1822,160,0
718,18,0,0
719,20,160,0
720,7777,120,0
721,18,160,0
723,16,0,-126
724,16,120,20
725,14,0,166
999,14,0,-88
998,14,0,12
997,14,76,0
996,1622,160,0

